
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
KK,647.68056278,78.795945494,136.99532354,1016.0772881
AA,623.55013519,78.572002942,132.2672436,968.2871704
QQ,583.16707897,72.025111315,134.94531475,2431.2609928
KQo,583.12091111,72.707972778,133.66734734,872.7629968
JJ,538.65525571,66.340152583,135.32660456,2291.2894124
J6s,532.67372301,62.627192819,141.75783688,358.1451876
K7s,530.09156623,64.148127843,137.72591242,130.13367551
KTo,524.78954414,62.003330618,141.06488015,1688.169867
AJs,520.49767125,61.88237256,140.18468957,1197.849594
K9o,515.21026085,62.501362846,137.38640711,919.62043589
K6s,505.23395076,60.993327141,138.05716528,266.9132425
TT,504.7485272,62.129785623,135.40164945,2281.9533271
KTs,498.30567009,57.513212699,144.40324426,499.8643723
AKs,494.86106728,62.221659422,132.55327054,1772.803341
99,494.81063257,59.043437226,139.67418334,1089.8419466
AJo,489.51296908,56.769443031,143.71374896,1156.8771594
J2s,487.45257114,55.163575433,147.27489027,420.6600187
AKo,487.04361476,61.177047936,132.68691206,5556.7948741
JTs,486.14531661,53.200679669,152.29921862,1596.3987539
T6s,485.3036318,52.978339262,152.67360163,269.3550472
Q7s,482.50265023,56.585416996,142.11631307,239.2800522
KQs,482.4545677,56.263707843,142.91467395,1466.5605085
J7s,480.74697293,55.68374181,143.89208211,874.2950362
K3s,479.61524668,57.750078446,138.41691059,185.4518888
KJo,479.28246743,54.53804847,146.46730765,2084.5972762
AQs,474.46879182,58.246790904,135.76392921,1476.737436
T8s,473.59138549,50.46011399,156.42433467,785.8720379
KJs,471.54732342,53.251005874,147.58635876,376.72939194
Q3s,468.09857964,53.577948073,145.61294851,172.7014808
JTo,465.82522244,48.375393427,160.48972747,606.70171907
QTs,463.49556597,47.588105339,162.32892746,708.1485291
QJs,462.07259152,47.68543578,161.50025123,767.643963
K4s,461.67263417,54.390760873,141.4678482,325.5214883
T9o,461.55220908,49.402383971,155.71185436,710.95874029
J8s,454.86605908,48.598243922,155.99536882,708.39210264
J9s,453.7522197,50.240352482,150.52714843,1057.2291719
ATo,453.24008709,49.534299252,152.50042022,1038.1569324
88,453.09899431,53.527713571,141.07925412,451.50665193
T9s,450.75166687,46.765891681,160.64117482,1003.8755952
QTo,448.33468339,44.737851614,167.0228778,727.49316896
AQo,447.41962893,54.359165466,137.18006433,4511.3133238
87s,444.41815077,49.46437469,149.74351189,452.241848
T7s,444.2971357,47.938276993,154.46846917,247.5046864
J9o,443.99416356,47.115576794,157.05851928,600.1439638
QJo,443.25641186,44.193697785,167.16426175,527.03715338
66,439.0800662,51.765260334,141.36896165,190.90063957
A5s,437.66790618,52.12900783,139.93101743,669.307388
54s,434.3813284,48.179065508,150.26627707,407.91386468
77,432.81714069,50.30387316,143.40086674,188.1948737
J5s,432.4315968,44.045704165,163.62987984,97.52593231
J3s,427.99949622,45.108609629,158.13666162,139.6627463
65s,425.11904723,45.569315423,155.48439532,826.6762316
98s,423.046761,43.207463716,163.1842914,568.6854631
76s,422.79395818,42.744306196,164.85390914,734.3793068
A9o,420.67946418,48.796465987,143.68508582,281.15666829
Q9s,419.35935017,42.697924188,163.69232547,732.7184028
96s,418.1868844,42.363926709,164.52160949,143.5393133
A4o,396.75910462,44.349280892,149.10392256,1356.6832991
55,380.11734404,43.694567004,144.99031577,110.5500984

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
