
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,467.69803498,85.442069441,182.46204243,774.59977012
JJ,349.51125237,72.277343242,161.18986333,354.68519269
KK,345.60306861,71.376576285,161.39891946,683.13201164
99,298.2110156,65.922909872,150.78774899,285.2856563
TT,285.84274826,64.243481107,148.31219362,426.03262816
QQ,262.15149755,62.034233438,140.86388704,270.71118065
AKo,227.88319954,58.742916087,129.31102433,363.39328742
AKs,216.37764211,57.471239588,125.49908654,169.42158542
88,205.38939064,54.0262022,126.72208563,107.64699539
77,171.14025433,50.94726715,111.97215206,160.04339875
KJs,167.89121578,48.649828508,115.0337839,91.28191457
55,135.83142724,43.510894991,104.05932221,131.52050731
AQo,117.23429443,46.377418532,84.261046386,645.95285538
KQs,112.64756184,41.048552556,91.475058052,233.4248084
AQs,97.824939837,44.264653871,73.66670792,308.76646869
T7s,93.201866882,32.760436774,94.831730038,296.52139624
54s,90.646403697,26.271124817,115.0139863,152.98624805
KTs,79.304710841,35.712838562,74.020729458,107.6339635
QJs,74.488992158,36.317457552,68.368398359,83.83552554
K4s,73.649355974,30.268940776,81.105531595,181.36278582
K7s,72.69739782,31.515186189,76.891393866,68.11380252
KJo,68.188731606,35.259960801,64.462854426,297.44967654
66,67.091778204,38.429985813,58.193948279,37.50319454
J5s,66.512686243,29.019394007,76.40027014,134.16584277
J3s,64.33185057,26.525836436,80.841749294,118.21937679
Q9s,57.361914345,32.502278028,58.828609178,185.67357053
98s,56.64029807,30.389479279,62.127090706,110.52676207
QTs,52.461851807,30.283399677,57.745445102,68.86634737
K3s,48.858726916,25.78117376,63.171066053,82.39695215
QJo,44.23682084,31.929164625,46.182250991,49.963400616
T9s,43.632175086,30.11901274,48.288629138,225.2556008
AJs,41.760360706,37.625932668,36.996080226,391.51016346
87s,40.960096439,28.773018993,47.451973959,127.66305891
A9o,36.087903241,33.610692548,35.790101805,250.68738577
Q7s,35.400659684,26.448990034,44.615011309,107.57227157
96s,35.397135339,25.246121163,46.736071007,73.75606013
T8s,35.330763205,26.925642397,43.738681866,195.44251299
KQo,34.136869188,32.761822861,34.732366524,501.13764381
ATo,31.23469622,34.259976577,30.389878941,284.6682718
K6s,30.685018085,29.354154032,34.844606152,216.45916589
A4o,27.369182318,30.538190672,29.874267505,455.21610227
Q3s,19.279591226,20.356737668,31.569549667,81.54077363
76s,18.046743712,23.828849732,25.244950155,101.31956146
A5s,16.433431334,28.957095245,18.916988733,260.6396366
J2s,15.826788717,22.671108101,23.27012961,236.86149586
J8s,15.746780752,23.928164537,21.936186995,97.43008188
