
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
KK,612.10151293,81.223483823,125.60027472,28416.759436
77,608.34173263,79.496438856,127.54066752,3485.0836103
AA,601.99180209,80.253822639,125.01830282,20884.597165
AKo,589.01092392,79.686067093,123.19404245,18034.539676
66,582.69251873,75.450772679,128.71361862,211.76725439
99,575.10375977,76.118543848,125.92283271,5982.8203389
AKs,565.26670558,75.532561191,124.72914477,3939.5027871
JJ,564.25533866,75.292048672,124.90370245,11063.704748
TT,558.72223118,73.640119569,126.45331432,7535.7417074
55,556.51604552,66.522777371,139.42994853,3893.2157734
AQo,553.72020045,74.123566467,124.50385818,23061.878934
QQ,526.24877328,72.277745524,121.34873362,9606.2200294
KQs,520.42926776,65.60214862,132.21855247,6088.0883059
88,517.14713665,65.99649178,130.59965328,2303.9794919
KJs,509.7202058,62.424456236,136.08988008,2931.3335914
AQs,507.73358104,65.535360622,129.12458664,7504.3245963
ATo,494.45255234,64.976216893,126.82911173,5575.7056263
T7s,493.1097703,53.511521362,153.58367624,5030.4169186
K4s,491.48075697,56.089487051,146.04066431,5087.4815721
AJo,486.21664352,62.800064806,129.03825419,5751.4391333
K7s,481.23869723,56.229609213,142.64095138,1233.5915994
AJs,480.67682345,61.991509711,129.23189689,7340.9197598
KTs,480.31455549,55.859191839,143.31110652,2202.3463174
54s,475.63352223,48.899882829,162.11133671,7060.3360459
76s,474.06168321,55.285810655,142.91240302,1662.4530214
KJo,473.34242216,55.70235595,141.62848653,8333.2362562
A4o,467.99796063,57.831092269,134.87495575,13739.406096
96s,467.82066913,49.158355145,158.61009037,1838.535912
Q9s,462.11055082,52.784009749,145.91241837,2936.4245281
A9o,459.2179396,57.407269767,133.32165696,4124.2624355
QJs,456.40126854,50.171362697,151.61413603,2478.9600319
T9s,455.86004094,50.67242601,149.93691732,2757.8793527
KQo,455.61862857,51.581408108,147.21668307,11227.046967
A5s,449.19293578,53.456695118,140.04885475,4918.8561399
J5s,444.75228763,46.271587213,160.19632292,3690.4372363
J9s,441.99800619,48.668249027,151.36425871,1323.7517098
K3s,439.55597564,44.565142522,164.38706381,1305.3760684
98s,437.11562799,46.661251003,156.13084326,1672.5734001
QJo,419.91303137,40.22262633,173.99536434,1573.7222646
J7s,416.99137408,42.105689317,165.05741498,2540.2079769
K6s,415.14950291,40.71014493,169.96152664,5900.630202
65s,412.98861037,40.028240545,171.95718354,3635.8218656
J9o,410.59081258,39.920282441,171.42113711,1616.248995
KTo,409.81498,40.689020407,167.8646868,10051.769001
Q7s,409.27397719,37.009423251,184.31070668,2657.8474794
QTs,408.08500172,37.519921579,181.27481107,2490.7170939
J3s,404.1298399,31.532416685,213.60549047,2668.8307647
K9o,398.68638354,36.257150474,183.26793397,9820.8568806
T9o,396.09408909,32.87944677,200.78099847,3811.855108
QTo,393.6512554,30.979774318,211.77863303,3209.952202
87s,393.6487333,31.021631324,211.49152838,3233.9182718
T8s,388.61883552,31.200721798,207.59072928,3091.6097307
J8s,388.19160443,32.536855534,198.84712175,2993.3320313
T6s,386.79868756,29.669232298,217.28384233,3804.5712625
J6s,382.29520598,29.059618508,219.25913324,4717.638361
JTo,371.4260065,25.460954269,243.13438437,942.97614105
J2s,370.01719763,25.792288906,239.10065975,5295.5550934
Q3s,368.25162986,23.951415773,256.24903441,2060.7599311
JTs,365.41229016,24.783131815,245.73992026,2293.363789

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,405.76651838,78.536235995,172.22050995,7526.5635482
55,166.10565698,47.157334195,117.41238828,8269.0784431
JJ,156.99473687,49.630724888,105.4418993,5967.3360079
66,155.5263327,48.991074606,105.81950144,10573.846485
44,142.37252717,43.711619575,108.56955089,2747.0435038
AQo,129.2356023,45.894433996,93.864397814,12322.050731
99,125.66229692,44.822696047,93.451389589,14190.882491
AJs,124.13932209,46.175996208,89.613170106,12417.83899
88,111.7705622,43.376209394,85.892369541,13834.136448
AQs,108.95040244,44.31351362,81.95423438,9191.4687309
A9s,101.43828298,41.412345245,81.648988468,13020.319611
KQs,96.82933986,41.374028239,78.011370886,13928.888616
AJo,93.124480879,41.980232711,73.943119468,11753.313354
54s,91.630710809,26.077049096,117.12816951,1812.6044841
ATs,90.133475042,41.901044602,71.703443114,12658.388013
TT,89.194530765,41.411257105,71.795720134,13936.521044
KTs,87.381876727,37.633496961,77.397251371,13968.601512
K9s,85.819991782,34.639538705,82.583847812,11162.705661
KJs,84.232468607,39.563905035,70.967437393,12296.56765
