Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\As9s6h.cfr
Action Line,Root CHECK CHECK 6c BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
As 9s 6h,,9.15695,56.68,477.359,140.367,43.32,121.141,93.2136,48.93,51.07
As 9s 6h,2c,6.92057,55.33,469.277,141.346,44.67,129.223,96.4371,46.25,53.75
As 9s 6h,3c,8.07002,54.86,468.173,142.232,45.14,130.327,96.2396,46.62,53.38
As 9s 6h,4c,4.21653,56.53,479.064,141.233,43.47,119.437,91.5928,45.77,54.23
As 9s 6h,5c,1.59372,57.52,481.444,139.512,42.48,117.056,91.8421,45.57,54.43
As 9s 6h,6c,11.4236,55.20,470.354,142.027,44.80,128.146,95.337,46.15,53.85
As 9s 6h,7c,3.09358,57.78,472.075,136.168,42.22,126.425,99.8172,49.60,50.40
As 9s 6h,8c,9.04965,58.22,487.938,139.678,41.78,110.562,88.2139,50.85,49.15
As 9s 6h,9c,6.43956,58.89,508.986,144.044,41.11,89.5142,72.5856,46.61,53.39
As 9s 6h,Tc,11.3039,55.21,472.575,142.669,44.79,125.925,93.708,48.16,51.84
As 9s 6h,Jc,8.73773,55.72,477.379,142.789,44.28,121.121,91.18,47.65,52.35
As 9s 6h,Qc,12.1295,58.00,487.505,140.084,42.00,110.995,88.0943,48.43,51.57
As 9s 6h,Kc,5.76764,58.53,482.003,137.246,41.47,116.497,93.6462,44.53,55.47
As 9s 6h,Ac,18.4503,54.29,461.312,141.622,45.71,137.188,100.04,48.49,51.51
As 9s 6h,2d,6.92057,55.33,469.277,141.346,44.67,129.223,96.4371,46.25,53.75
As 9s 6h,3d,8.07002,54.86,468.173,142.232,45.14,130.327,96.2396,46.62,53.38
As 9s 6h,4d,4.21653,56.53,479.064,141.233,43.47,119.437,91.5928,45.77,54.23
As 9s 6h,5d,1.59372,57.52,481.444,139.512,42.48,117.056,91.8421,45.57,54.43
As 9s 6h,6d,11.4236,55.20,470.354,142.027,44.80,128.146,95.337,46.15,53.85
As 9s 6h,7d,3.09358,57.78,472.075,136.168,42.22,126.425,99.8172,49.60,50.40
As 9s 6h,8d,9.04965,58.22,487.938,139.678,41.78,110.562,88.2139,50.85,49.15
As 9s 6h,9d,6.43956,58.89,508.986,144.044,41.11,89.5142,72.5856,46.61,53.39
As 9s 6h,Td,11.3039,55.21,472.575,142.669,44.79,125.925,93.708,48.16,51.84
