
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,478.13129308,86.603372455,184.03105234,6963.9208466
AKs,249.23532674,60.956159465,136.29212039,1661.2538388
JJ,229.47572954,58.518277017,130.7145626,4172.6934609
99,200.0509125,54.020446682,123.44147743,4045.2831553
AKo,195.35395479,54.798990786,118.83062808,2853.4818205
KK,174.93145979,52.202510394,111.70054114,7548.9651727
QQ,168.54201557,51.563099214,108.95518833,4968.2146867
66,122.49611062,43.293742656,94.313945544,635.53624673
88,101.01060106,41.045465596,82.03147379,1902.783755
TT,98.739952524,43.119540057,76.330400242,6020.8907742
87s,85.360819429,29.631703062,96.024202244,2005.1089737
77,83.831919321,39.179603887,71.322755554,2378.8980052
55,83.429120566,35.429578121,78.492909964,2113.9083426
KTs,81.915693942,32.718219851,83.455736403,1697.7721156
KQs,80.163895629,34.722749409,76.95617138,3859.6756229
AQs,75.528131012,41.555057943,60.58478779,2688.5505778
T9s,72.053550401,32.54997767,73.787608635,4152.0802395
98s,68.802360038,30.161544098,76.03761909,2174.5204461
A9o,65.600655616,36.053836906,60.650646594,2821.2457765
QTs,63.815954025,29.158527152,72.952877779,1387.8347877
T8s,63.639059427,26.061238528,81.396821515,3265.1813799
Q9s,63.514535879,31.473992888,67.266685974,3227.5470676
T7s,59.116975701,25.288915018,77.922119446,4059.63052
ATo,58.909423871,37.619755762,52.197241119,3393.2997682
K7s,57.432052091,25.49008281,75.103786467,975.49429492
54s,56.8120636,19.550792355,96.862337798,2355.6918179
KJs,56.692751406,33.07122429,57.142075046,1220.7327699
AQo,56.469817706,38.753699072,48.571550637,6016.2067662
AJs,55.765519232,38.686029351,48.049662171,3476.6392536
K3s,51.196905155,21.569696894,79.118566828,1103.9496326
J9o,50.222335069,31.278281928,53.522052122,1841.8031869
J9s,48.984346895,28.789161495,56.716190344,1837.4343858
K4s,46.014427861,21.198029924,72.356453288,2340.9327076
J5s,43.395024047,23.255414127,62.200603853,1569.8981707
K6s,40.941619001,26.230637851,52.027733414,2509.3951357
