Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK BET 300
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,CALL freq,FOLD freq
As 9s 6h,,6.82641,33.98,71.2119,69.8598,66.02,527.288,133.11,37.42,62.58
As 9s 6h,2c,2.64331,31.31,61.2287,65.1793,68.69,537.271,130.367,34.34,65.66
As 9s 6h,3c,2.88214,31.60,60.712,64.0521,68.40,537.788,131.031,34.58,65.42
As 9s 6h,4c,3.15931,32.53,72.8382,74.637,67.47,525.662,129.851,34.91,65.09
As 9s 6h,5c,6.00349,32.24,65.8751,68.1146,67.76,532.625,131.003,34.11,65.89
As 9s 6h,6c,0.83222,33.09,68.2102,68.722,66.91,530.29,132.081,33.61,66.39
As 9s 6h,7c,10.2124,33.75,64.1872,63.3883,66.25,534.313,134.425,38.10,61.90
As 9s 6h,8c,11.1632,31.35,49.0071,52.1003,68.65,549.493,133.413,38.65,61.35
As 9s 6h,9c,2.1597,32.79,65.4572,66.551,67.21,533.043,132.174,32.52,67.48
As 9s 6h,Tc,9.21257,34.84,75.214,71.9554,65.16,523.286,133.852,38.62,61.38
As 9s 6h,Jc,8.63535,36.15,73.9885,68.2215,63.85,524.512,136.915,40.84,59.16
As 9s 6h,Qc,8.55039,32.97,65.7177,66.4406,67.03,532.782,132.475,35.93,64.07
As 9s 6h,Kc,7.7763,37.38,98.8302,88.129,62.62,499.67,132.992,38.60,61.40
As 9s 6h,Ac,2.22103,39.34,95.1407,80.6122,60.66,503.359,138.303,38.14,61.86
As 9s 6h,2d,2.64331,31.31,61.2287,65.1793,68.69,537.271,130.367,34.34,65.66
As 9s 6h,3d,2.88214,31.60,60.712,64.0521,68.40,537.788,131.031,34.58,65.42
As 9s 6h,4d,3.15931,32.53,72.8382,74.637,67.47,525.662,129.851,34.91,65.09
As 9s 6h,5d,6.00349,32.24,65.8751,68.1146,67.76,532.625,131.003,34.11,65.89
As 9s 6h,6d,0.83222,33.09,68.2102,68.722,66.91,530.29,132.081,33.61,66.39
As 9s 6h,7d,10.2124,33.75,64.1872,63.3883,66.25,534.313,134.425,38.10,61.90
As 9s 6h,8d,11.1632,31.35,49.0071,52.1003,68.65,549.493,133.413,38.65,61.35
As 9s 6h,9d,2.1597,32.79,65.4572,66.551,67.21,533.043,132.174,32.52,67.48
As 9s 6h,Td,9.21257,34.84,75.214,71.9554,65.16,523.286,133.852,38.62,61.38
As 9s 6h,Jd,8.63535,36.15,73.9885,68.2215,63.85,524.512,136.915,40.84,59.16
As 9s 6h,Qd,8.55039,32.97,65.7177,66.4406,67.03,532.782,132.475,35.93,64.07
As 9s 6h,Kd,7.7763,37.38,98.8302,88.129,62.62,499.67,132.992,38.60,61.40
As 9s 6h,Ad,2.22103,39.34,95.1407,80.6122,60.66,503.359,138.303,38.14,61.86
As 9s 6h,2h,4.58915,31.72,60.6155,63.703,68.28,537.885,131.29,35.00,65.00
As 9s 6h,3h,4.60146,31.87,61.3459,64.1685,68.13,537.154,131.399,34.95,65.05
As 9s 6h,4h,5.89539,32.32,63.0591,65.0448,67.68,535.441,131.848,35.41,64.59
As 9s 6h,5h,8.59445,31.99,57.9952,60.4298,68.01,540.505,132.458,35.86,64.14
As 9s 6h,7h,12.4417,32.83,58.0478,58.9387,67.17,540.452,134.1,38.62,61.38
As 9s 6h,8h,11.9261,31.05,50.0958,53.7853,68.95,548.404,132.555,37.27,62.73
As 9s 6h,9h,5.00055,32.80,64.694,65.7534,67.20,533.806,132.385,34.08,65.92
As 9s 6h,Th,10.4347,35.69,77.7482,72.6116,64.31,520.752,134.962,39.74,60.26
As 9s 6h,Jh,9.94089,35.84,68.6274,63.819,64.16,529.873,137.654,41.23,58.77
As 9s 6h,Qh,9.75545,33.51,65.247,64.8989,66.49,533.253,133.672,37.21,62.79
As 9s 6h,Kh,9.57579,36.95,90.8115,81.9333,63.05,507.688,134.193,39.66,60.34
As 9s 6h,Ah,2.65378,34.88,82.5005,78.842,65.12,515.999,132.064,34.30,65.70
As 9s 6h,2s,4.61024,34.42,85.4742,82.7856,65.58,513.026,130.373,34.59,65.41
As 9s 6h,3s,5.03909,34.63,83.8007,80.6643,65.37,514.699,131.226,34.78,65.22
As 9s 6h,4s,4.82524,34.46,88.2282,85.3559,65.54,510.272,129.751,34.44,65.56
As 9s 6h,5s,7.9961,33.13,76.9427,77.4127,66.87,521.557,129.995,34.25,65.75
As 9s 6h,6s,2.70957,30.80,58.6108,63.4356,69.20,539.889,130.028,32.42,67.58
As 9s 6h,7s,13.275,33.15,68.4422,68.815,66.85,530.058,132.156,39.01,60.99
As 9s 6h,8s,15.1343,34.04,71.3605,69.8847,65.96,527.14,133.191,38.46,61.54
As 9s 6h,Ts,11.4404,34.85,83.6128,79.9691,65.15,514.887,131.723,36.97,63.03
As 9s 6h,Js,8.18346,37.54,88.6496,78.7245,62.46,509.85,136.038,39.87,60.13
As 9s 6h,Qs,7.51535,34.66,82.0577,78.9094,65.34,516.442,131.739,36.54,63.46
As 9s 6h,Ks,7.45284,37.71,100.73,89.0307,62.29,497.77,133.194,38.52,61.48
As Js 6s,,4.33086,37.95,96.5583,84.816,62.05,501.942,134.818,36.24,63.76
As Js 6s,2c,3.82981,33.19,70.6769,70.9747,66.81,527.823,131.68,32.94,67.06
