
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,353.24539669,87.905858092,133.94837172,46940.173766
JJ,240.01933675,71.957893081,111.18508639,28170.466912
AKs,239.47954772,70.307273807,113.53948402,10325.046349
KK,228.05920471,70.992541858,107.08129744,54645.219177
AKo,210.17382255,66.676879995,105.07081444,20796.481164
QQ,207.47092163,67.531579068,102.40686628,36676.306746
99,197.21686119,61.562982941,106.78324959,29180.354335
TT,152.68224634,56.995501726,89.29491025,40654.534827
66,142.53466119,52.150611303,91.104500104,4021.9642298
AQs,135.92359236,54.597850972,82.984702353,17415.11052
AQo,129.97568475,53.209537053,81.423802291,41635.982559
88,127.08923227,48.900023824,86.632017961,13566.402999
ATo,121.02976346,49.776804182,81.048301811,22545.275657
A9o,115.84348296,47.028617988,82.108503229,18737.517727
77,114.84905315,45.995023684,83.232955762,16751.660327
AJs,111.91635009,48.437114768,77.018315828,21979.766427
KQs,107.10424105,40.445630733,88.270137059,27615.188487
55,105.39132186,40.907200584,85.878378667,14310.45563
KJs,101.45388079,42.995656106,78.65436494,8031.7791823
87s,98.728256206,32.069442654,102.61924128,14687.30837
AJo,97.536769798,46.290970052,70.234554521,20657.054238
KTs,97.204221891,35.50984973,91.246252923,11806.441022
T9s,93.793897151,34.727273141,90.029045059,30416.902019
98s,93.216191126,33.763582852,92.0283367,16430.985989
J9o,92.687581589,38.57549537,80.091934618,12358.145777
Q9s,91.862717815,35.789306175,85.5588141,23874.479403
A4o,91.071613406,41.083217205,73.89198445,44984.922627
A5s,83.502152205,38.513663247,72.2705876,20147.883772
QJo,83.308848914,37.68645423,73.685935363,7329.9376353
KJo,82.923820383,38.324448477,72.124386807,33383.619347
QTs,81.990616272,30.497823993,89.613624337,10487.563399
K7s,79.274249109,30.003893219,88.071069677,6542.9308156
T8s,73.687798875,25.502618716,96.314029153,23755.484041
K6s,73.177450921,31.379113379,77.734776459,15106.746407
J9s,72.699593842,30.797905773,78.684564224,12253.439249
T7s,72.359586284,25.888321837,93.16889,27727.853183
K3s,72.028544193,26.737813641,89.796103202,7185.2247843
76s,71.235438433,31.955744139,74.306347056,11790.54125
K4s,70.786799705,27.003500763,87.379781269,15992.919101
KQo,68.733715188,33.743731196,67.897762293,37945.402601
J5s,68.326404395,27.601450087,82.515476758,10485.332
QJs,67.031773064,35.153687506,63.560684353,11703.174831
Q7s,66.427237845,27.627789625,80.14543659,12227.871512
96s,65.643433025,26.418478237,82.825150433,6823.0464846
54s,64.801801896,21.568113856,100.15062409,15969.043622
T6s,59.165943164,24.936166806,79.089866571,14971.782373
JTo,58.257854696,27.039884672,71.81718833,6104.3748974
J3s,57.703012925,21.921849141,87.740489036,8604.6535434
T9o,56.252312506,26.481588206,70.806821287,25005.055537
Q3s,55.840810283,21.759697875,85.541644623,8531.8820396
J8s,53.290605937,23.489216787,75.624212905,12226.241131
J6s,52.225404953,23.659379577,73.579563914,14960.065748
QTo,48.208512299,23.847496416,67.384449166,9697.0129887
J2s,47.760007933,21.033866442,75.687476138,17908.708458
K9o,47.291996401,25.8181296,61.057865323,37424.164282
KTo,42.964254016,25.0438854,57.185288051,41603.663722
J7s,42.753419414,22.504104471,63.326846991,22205.649982
65s,42.239857038,20.635234739,68.232576582,12541.608325
JTs,34.89940609,19.387383718,60.00363707,13880.898756

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,306.04869246,86.825453687,117.49576476,26474.706876
66,230.81473943,70.778229638,108.70326493,40084.661864
JJ,225.61413129,71.650636598,104.96028228,20932.404323
AQo,223.02511313,70.324330438,105.71263731,48012.442154
99,214.50977111,66.808394032,107.02735498,46302.740092
AQs,211.28308765,68.351982401,103.03680071,30805.597615
AJs,207.90744622,66.754949945,103.81624453,43631.651024
A9s,200.08128166,63.615678002,104.83855969,43430.69408
ATs,198.34414748,64.261999946,102.88306601,46525.746364
A2s,195.00771327,60.226524595,107.93013797,5464.1841212
AJo,194.23602327,63.785437253,101.50489497,41325.793349
TT,191.8991256,63.299288716,101.05386095,46351.071611
A7s,188.73725323,62.360172482,100.88557366,22177.407819
A5s,184.98980389,61.247028361,100.67960783,25760.16837
A8s,182.07517055,59.574776311,101.87486597,17352.51154
KQs,181.02965471,58.17320501,103.73026246,49465.806728
A3s,180.56962093,56.938671215,105.71000755,5741.2204868
A4s,179.03354004,58.347943532,102.2792631,8314.236139
55,178.20536882,54.933968742,108.13307497,30677.30041
44,172.20051371,52.565195305,109.19805568,10531.749117
88,171.74790985,55.344602204,103.44152999,54566.371869
KQo,171.2952738,56.130439845,101.72452729,83370.639349
KJs,171.22032477,55.505050537,102.82567269,43602.791102
K9s,168.34157644,52.127374057,107.64758408,38723.376678
K8s,166.76969326,50.601867902,109.85740262,9683.8902626
KTs,164.02337632,51.670054478,105.81459479,48300.493629
98s,161.23876214,43.279285721,124.18470673,13062.402995
77,161.15373471,53.360607825,100.66960209,61155.711578
J9s,159.18685877,51.532769793,102.96804629,25121.310804
QJs,150.7388533,48.124583192,104.40876804,38100.287064
54s,147.711821,33.870944242,145.36728977,7103.5513877
87s,146.55654436,34.665736988,140.92353344,11456.685385
JTs,146.04835545,45.079057988,107.99423795,35123.890603
76s,146.0480244,41.72010961,116.68875095,8094.9638459
T8s,143.72413806,36.728158141,130.43955495,9807.2413938
T9s,142.41733229,39.881939478,119.03243603,35051.785372
