Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK As CHECK
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
As 9s 6h,,43.452,44.79,117.706,87.5891,55.21,180.794,109.165,15.71,84.29
As 9s 6h,2c,50.0733,45.23,118.883,87.6089,54.77,179.617,109.321,5.28,94.72
As 9s 6h,3c,48.8537,45.17,118.556,87.48,54.83,179.944,109.404,5.90,94.10
As 9s 6h,4c,51.4221,45.07,119.955,88.7104,54.93,178.545,108.354,6.14,93.86
As 9s 6h,5c,52.8268,44.20,115.131,86.8335,55.80,183.369,109.532,11.36,88.64
As 9s 6h,6c,43.3677,45.54,120.185,87.9611,54.46,178.315,109.151,1.92,98.08
As 9s 6h,7c,50.2632,44.90,115.273,85.5772,55.10,183.227,110.845,20.32,79.68
As 9s 6h,8c,43.9998,42.98,106.314,82.4609,57.02,192.186,112.341,25.37,74.63
As 9s 6h,9c,44.1337,45.31,118.817,87.4175,54.69,179.683,109.509,4.89,95.11
As 9s 6h,Tc,36.3234,46.10,122.329,88.4465,53.90,176.171,108.955,25.36,74.64
As 9s 6h,Jc,40.5483,49.34,129.268,87.3381,50.66,169.232,111.343,21.30,78.70
As 9s 6h,Qc,37.913,43.67,116.389,88.8476,56.33,182.111,107.757,22.55,77.45
As 9s 6h,Kc,42.512,47.24,131.999,93.1465,52.76,166.501,105.188,18.29,81.71
As 9s 6h,Ac,30.815,42.13,106.683,84.413,57.87,191.817,110.482,7.21,92.79
As 9s 6h,2d,50.0733,45.23,118.883,87.6089,54.77,179.617,109.321,5.28,94.72
As 9s 6h,3d,48.8537,45.17,118.556,87.48,54.83,179.944,109.404,5.90,94.10
As 9s 6h,4d,51.4221,45.07,119.955,88.7104,54.93,178.545,108.354,6.14,93.86
As 9s 6h,5d,52.8268,44.20,115.131,86.8335,55.80,183.369,109.532,11.36,88.64
As 9s 6h,6d,43.3677,45.54,120.185,87.9611,54.46,178.315,109.151,1.92,98.08
As 9s 6h,7d,50.2632,44.90,115.273,85.5772,55.10,183.227,110.845,20.32,79.68
As 9s 6h,8d,43.9998,42.98,106.314,82.4609,57.02,192.186,112.341,25.37,74.63
As 9s 6h,9d,44.1337,45.31,118.817,87.4175,54.69,179.683,109.509,4.89,95.11
As 9s 6h,Td,36.3234,46.10,122.329,88.4465,53.90,176.171,108.955,25.36,74.64
As 9s 6h,Jd,40.5483,49.34,129.268,87.3381,50.66,169.232,111.343,21.30,78.70
As 9s 6h,Qd,37.913,43.67,116.389,88.8476,56.33,182.111,107.757,22.55,77.45
As 9s 6h,Kd,42.512,47.24,131.999,93.1465,52.76,166.501,105.188,18.29,81.71
As 9s 6h,Ad,30.815,42.13,106.683,84.413,57.87,191.817,110.482,7.21,92.79
As 9s 6h,2h,41.4424,43.40,112.182,86.1589,56.60,186.318,109.73,11.07,88.93
As 9s 6h,3h,40.3175,43.33,112.027,86.1907,56.67,186.473,109.674,11.41,88.59
As 9s 6h,4h,45.3673,43.59,112.405,85.963,56.41,186.095,109.959,12.99,87.01
As 9s 6h,5h,46.1831,42.33,105.493,83.0794,57.67,193.006,111.551,18.61,81.39
As 9s 6h,7h,45.469,43.07,105.882,81.9511,56.93,192.618,112.775,27.36,72.64
As 9s 6h,8h,36.4489,40.36,96.7299,79.8905,59.64,201.77,112.77,32.72,67.28
As 9s 6h,9h,40.9668,44.80,116.391,86.5961,55.20,182.109,109.974,12.21,87.79
As 9s 6h,Th,35.7624,46.17,120.944,87.3091,53.83,177.556,109.958,29.18,70.82
As 9s 6h,Jh,38.671,48.53,124.612,85.5909,51.47,173.888,112.615,25.71,74.29
As 9s 6h,Qh,36.838,43.83,114.994,87.4605,56.17,183.506,108.893,26.48,73.52
As 9s 6h,Kh,38.3234,46.63,127.036,90.806,53.37,171.464,107.097,24.99,75.01
As 9s 6h,Ah,21.6642,39.60,101.969,85.8239,60.40,196.531,108.468,12.25,87.75
As 9s 6h,2s,52.328,45.00,122.385,90.6619,55.00,176.115,106.73,8.81,91.19
As 9s 6h,3s,52.1793,45.02,122.421,90.6506,54.98,176.079,106.745,9.66,90.34
As 9s 6h,4s,52.469,44.73,122.44,91.2539,55.27,176.06,106.172,9.20,90.80
As 9s 6h,5s,53.2021,44.22,119.045,89.7436,55.78,179.455,107.233,15.03,84.97
As 9s 6h,6s,46.9241,44.72,120.012,89.4468,55.28,178.488,107.634,5.77,94.23
As 9s 6h,7s,50.6029,44.00,112.913,85.5471,56.00,185.587,110.461,26.23,73.77
As 9s 6h,8s,48.2723,43.66,112.899,86.2038,56.34,185.601,109.802,31.35,68.65
As 9s 6h,Ts,39.1619,44.18,118.258,89.2259,55.82,180.242,107.631,29.21,70.79
As 9s 6h,Js,39.9965,48.37,130.398,89.8622,51.63,168.102,108.529,20.46,79.54
As 9s 6h,Qs,36.7521,43.35,118.613,91.2093,56.65,179.887,105.844,20.45,79.55
As 9s 6h,Ks,43.7034,45.41,126.334,92.7302,54.59,172.166,105.132,17.05,82.95
As Js 6s,,37.7869,43.44,120.498,92.4644,56.56,178.002,104.903,11.46,88.54
As Js 6s,2c,38.2324,40.28,107.069,88.5942,59.72,191.431,106.857,10.02,89.98
As Js 6s,3c,37.5598,40.61,107.816,88.5068,59.39,190.684,107.015,11.14,88.86
As Js 6s,4c,37.864,40.72,109.142,89.3478,59.28,189.358,106.473,12.87,87.13
As Js 6s,5c,38.2349,41.61,112.116,89.8077,58.39,186.384,106.408,9.62,90.38
As Js 6s,6c,33.2396,43.22,120.102,92.6183,56.78,178.398,104.739,2.75,97.25
As Js 6s,7c,41.3414,44.01,118.377,89.6561,55.99,180.123,107.238,18.09,81.91
As Js 6s,8c,42.4255,43.15,116.252,89.8037,56.85,182.248,106.86,21.76,78.24
As Js 6s,9c,40.5441,44.96,122.157,90.5569,55.04,176.343,106.807,23.34,76.66
As Js 6s,Tc,37.4979,46.77,129.606,92.3798,53.23,168.894,105.755,10.14,89.86
As Js 6s,Jc,36.8475,40.88,107.708,87.8266,59.12,190.792,107.572,4.33,95.67
As Js 6s,Qc,31.9896,46.31,131.219,94.4533,53.69,167.281,103.853,12.40,87.60
As Js 6s,Kc,30.6613,45.04,128.865,95.3632,54.96,169.635,102.891,6.35,93.65
As Js 6s,Ac,28.1499,37.94,97.3812,85.5609,62.06,201.119,108.021,2.18,97.82
As Js 6s,2d,38.2324,40.28,107.069,88.5942,59.72,191.431,106.857,10.02,89.98
As Js 6s,3d,37.5598,40.61,107.816,88.5068,59.39,190.684,107.015,11.14,88.86
As Js 6s,4d,37.864,40.72,109.142,89.3478,59.28,189.358,106.473,12.87,87.13
As Js 6s,5d,38.2349,41.61,112.116,89.8077,58.39,186.384,106.408,9.62,90.38
As Js 6s,6d,33.2396,43.22,120.102,92.6183,56.78,178.398,104.739,2.75,97.25
As Js 6s,7d,41.3414,44.01,118.377,89.6561,55.99,180.123,107.238,18.09,81.91
As Js 6s,8d,42.4255,43.15,116.252,89.8037,56.85,182.248,106.86,21.76,78.24
As Js 6s,9d,40.5441,44.96,122.157,90.5569,55.04,176.343,106.807,23.34,76.66
As Js 6s,Td,37.4979,46.77,129.606,92.3798,53.23,168.894,105.755,10.14,89.86
As Js 6s,Jd,36.8475,40.88,107.708,87.8266,59.12,190.792,107.572,4.33,95.67
As Js 6s,Qd,31.9896,46.31,131.219,94.4533,53.69,167.281,103.853,12.40,87.60
As Js 6s,Kd,30.6613,45.04,128.865,95.3632,54.96,169.635,102.891,6.35,93.65
As Js 6s,Ad,28.1499,37.94,97.3812,85.5609,62.06,201.119,108.021,2.18,97.82
As Js 6s,2h,38.2324,40.28,107.069,88.5942,59.72,191.431,106.857,10.02,89.98
As Js 6s,3h,37.5598,40.61,107.816,88.5068,59.39,190.684,107.015,11.14,88.86
As Js 6s,4h,37.864,40.72,109.142,89.3478,59.28,189.358,106.473,12.87,87.13
As Js 6s,5h,38.2349,41.61,112.116,89.8078,58.39,186.384,106.408,9.62,90.38
