
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,337.46338445,85.549644035,131.48832597,67824.772743
KK,256.81133872,74.492702062,114.91565912,83061.98194
JJ,246.85367068,72.898096745,112.87613884,39234.173741
AKo,246.78863203,72.718820257,113.12460385,38831.022417
AKs,246.60129144,71.750364467,114.56447795,14264.54959
QQ,211.36836996,68.5166748,102.83062266,46282.52865
99,210.46888349,64.039531496,109.5515424,35163.175334
AQo,174.08503129,60.664448854,95.654612972,64697.864781
TT,169.26421535,59.598300438,94.669486716,48190.278026
AQs,157.54869359,57.891610845,90.714751982,24919.435984
66,149.54522122,53.316063626,93.496037937,4233.7316131
77,148.17151507,51.764491603,95.413870578,20236.744121
88,140.16336598,51.382000286,90.928966827,15870.38287
55,137.71233265,46.385598711,98.961988546,18203.672156
ATo,135.58770891,52.790477856,85.613740971,28120.982456
KJs,130.40228672,48.190557681,90.199057656,10963.113404
AJs,129.13167164,51.830682321,83.047123089,29320.686483
KQs,127.57502668,44.989851011,94.521337448,33703.278208
A9o,123.66822522,48.900925666,84.298489609,22861.781057
AJo,116.85013118,49.886444347,78.077410081,26408.494454
KTs,110.27014097,38.709006122,94.956490336,14008.787797
A4o,109.06964071,45.001624652,80.789409682,58724.330813
KJo,100.98556982,41.795808162,80.538834122,41716.857083
K4s,99.914718504,34.023027659,97.889307505,21080.401503
Q9s,99.556505788,37.650626339,88.140637106,26810.904574
T9s,98.953565665,36.052822599,91.489429982,33174.781794
54s,98.780533052,29.947473515,109.94865505,23029.380579
87s,97.811643334,31.880363103,102.26947857,17921.227304
98s,97.272022647,34.955188191,92.75878411,18103.559765
A5s,96.392677152,41.44594003,77.524824773,25066.740746
K7s,95.448891274,34.164085145,93.127905976,7776.5226713
J9o,94.758228173,38.731030558,81.552377004,13974.395294
T7s,90.902191892,30.130188605,100.56601712,32758.271318
QJo,89.778636429,38.134722839,78.474969568,8903.6602027
KQo,88.571263858,37.816427058,78.071242886,49172.451345
J5s,88.222671636,32.461925063,90.590921996,14175.769634
96s,87.331904758,31.245319576,93.167985842,8661.58282
QTs,86.998496984,31.845465098,91.063198183,12978.281099
K6s,84.966712846,34.000048378,83.300580341,21007.377658
76s,83.942184391,34.838755597,80.314947108,13452.994432
QJs,82.653071704,37.778695703,72.927408923,14182.135327
K3s,82.410456198,29.478652471,93.186593563,8490.6011009
J9s,79.456063174,32.540232353,81.392640667,13577.191171
T8s,75.407198899,26.158790793,96.089047714,26847.094507
Q7s,74.077526748,29.302881914,84.266486104,14885.71964
J3s,68.693876482,24.197008984,94.631360605,11273.484492
T6s,64.765044931,25.895207363,83.368122942,18776.354127
T9o,61.522516945,27.327886906,75.042412606,28816.911596
J8s,60.154810752,25.268674406,79.353603048,15219.573297
JTo,60.019827427,26.828614727,74.571905206,7047.3512371
QTo,59.510084889,25.621288574,77.422706145,12906.965775
J6s,59.434498678,24.954061758,79.391883178,19677.704616
Q3s,58.255287897,22.186088723,87.525248553,10592.642309
65s,58.140395449,24.993744941,77.539927939,16177.430634
K9o,57.975383541,27.988096536,69.047667541,47245.022315
KTo,55.972914239,28.0883143,66.424912083,51655.433881
J2s,52.839425546,22.119808559,79.626104364,23204.264032
J7s,50.374081683,24.516243465,68.490756282,24745.858426
JTs,39.225855624,20.152451955,64.881857737,16174.262828

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,328.12235493,84.990538711,128.68975767,34001.270425
66,215.09994414,66.230649667,108.25800704,50658.508364
JJ,210.39186644,66.765820244,105.03970728,26899.740303
AQo,203.87057899,65.335038852,104.01288628,60334.492857
99,193.66750712,61.650888173,104.71193136,60493.622439
AJs,189.34850773,62.19565508,101.48002969,56049.489947
AQs,187.76667103,62.827865159,99.619635626,39997.066424
A9s,177.32945963,58.494522053,101.05188965,56451.013593
55,175.63636194,53.282829162,109.87677438,38946.378875
ATs,175.19989204,59.479406835,98.18518227,59184.134233
AJo,171.8468806,58.957101775,97.159276507,53079.106776
A2s,169.28282125,55.210357751,102.20474813,7064.297095
TT,168.15717915,58.239492384,96.244645609,60287.592697
44,166.02986394,50.733615319,109.08603227,13278.79261
KQs,162.52941904,54.482143061,99.438953698,63394.695104
A7s,162.26202435,56.751822582,95.305029845,28424.3933
A5s,162.01313028,56.273666569,95.967403676,32454.334171
88,159.61737469,52.923976788,100.5324898,68400.50832
A4s,156.51603493,53.743502883,97.075941921,10530.813675
A3s,153.3479998,51.836895387,98.609300483,7437.212633
