Aggregation analysis,PioViewer 3.3.16, EV in chips
File, C:\Users\bkush\DPS\Pious\src\pious\pio\resources\database\Ts7h4d.cfr
Action Line,Root CHECK CHECK 4h
Flop,Turn,Global %,OOP Equity,OOP EV,OOP EQR,IP Equity,IP EV,IP EQR,BET 300 freq,CHECK freq
As 9s 6h,,52.609,46.86,128.089,91.108,53.14,170.411,106.901,17.41,82.59
As 9s 6h,2c,56.9939,46.46,125.002,89.6862,53.54,173.498,108.016,12.14,87.86
As 9s 6h,3c,56.9237,46.55,125.59,89.9366,53.45,172.91,107.828,14.18,85.82
As 9s 6h,4c,55.6386,45.94,124.435,90.2836,54.06,174.065,107.333,7.58,92.42
As 9s 6h,5c,54.4205,44.59,117.073,87.5257,55.41,181.427,109.135,2.93,97.07
As 9s 6h,6c,54.7914,47.56,130.645,91.571,52.44,167.855,106.69,20.85,79.15
As 9s 6h,7c,53.3568,45.65,118.566,86.582,54.35,179.934,110.349,5.80,94.20
As 9s 6h,8c,53.0495,45.58,120.238,87.939,54.42,178.262,109.182,17.06,82.94
As 9s 6h,9c,50.5732,47.04,130.299,92.3389,52.96,168.201,105.86,12.73,87.27
As 9s 6h,Tc,47.6274,48.26,134.255,92.7232,51.74,164.245,105.822,23.73,76.27
As 9s 6h,Jc,49.286,50.47,137.797,91.0128,49.53,160.703,108.148,17.73,82.27
As 9s 6h,Qc,50.0425,47.14,133.626,94.4874,52.86,164.874,103.97,24.24,75.76
As 9s 6h,Kc,48.2797,48.59,137.973,94.6577,51.41,160.527,104.076,11.95,88.05
As 9s 6h,Ac,49.2653,46.68,127.142,90.7859,53.32,171.358,107.13,37.45,62.55
As 9s 6h,2d,56.9939,46.46,125.002,89.6862,53.54,173.498,108.016,12.14,87.86
As 9s 6h,3d,56.9237,46.55,125.59,89.9366,53.45,172.91,107.828,14.18,85.82
As 9s 6h,4d,55.6386,45.94,124.435,90.2836,54.06,174.065,107.333,7.58,92.42
As 9s 6h,5d,54.4205,44.59,117.073,87.5257,55.41,181.427,109.135,2.93,97.07
As 9s 6h,6d,54.7914,47.56,130.645,91.571,52.44,167.855,106.69,20.85,79.15
As 9s 6h,7d,53.3568,45.65,118.566,86.582,54.35,179.934,110.349,5.80,94.20
As 9s 6h,8d,53.0495,45.58,120.238,87.939,54.42,178.262,109.182,17.06,82.94
As 9s 6h,9d,50.5732,47.04,130.299,92.3389,52.96,168.201,105.86,12.73,87.27
As 9s 6h,Td,47.6274,48.26,134.255,92.7232,51.74,164.245,105.822,23.73,76.27
As 9s 6h,Jd,49.286,50.47,137.797,91.0128,49.53,160.703,108.148,17.73,82.27
As 9s 6h,Qd,50.0425,47.14,133.626,94.4874,52.86,164.874,103.97,24.24,75.76
As 9s 6h,Kd,48.2797,48.59,137.973,94.6577,51.41,160.527,104.076,11.95,88.05
As 9s 6h,Ad,49.2653,46.68,127.142,90.7859,53.32,171.358,107.13,37.45,62.55
As 9s 6h,2h,56.8435,46.42,124.952,89.7341,53.58,173.548,107.959,27.09,72.91
As 9s 6h,3h,56.7677,46.49,125.414,89.9256,53.51,173.086,107.818,28.98,71.02
As 9s 6h,4h,55.4996,45.87,123.788,89.9561,54.13,174.712,107.588,18.26,81.74
As 9s 6h,5h,54.2683,44.54,116.622,87.2835,55.46,181.878,109.31,14.90,85.10
As 9s 6h,7h,53.5156,45.11,115.788,85.5519,54.89,182.712,110.965,15.04,84.96
As 9s 6h,8h,53.2299,45.27,118.297,87.1045,54.73,180.203,109.753,31.53,68.47
As 9s 6h,9h,50.8149,47.17,130.404,92.1513,52.83,168.096,106.062,19.38,80.62
As 9s 6h,Th,47.8404,48.32,133.265,91.9354,51.68,165.235,106.572,25.25,74.75
As 9s 6h,Jh,48.993,50.03,134.587,89.6662,49.97,163.913,109.347,21.07,78.93
As 9s 6h,Qh,50.0194,47.38,134.165,94.3919,52.62,164.335,104.099,26.35,73.65
As 9s 6h,Kh,48.2879,48.73,137.379,93.9804,51.27,161.121,104.745,20.64,79.36
As 9s 6h,Ah,46.8855,47.48,133.577,93.7787,52.52,164.923,104.672,53.79,46.21
As 9s 6h,2s,57.2853,46.41,128.598,92.3567,53.59,169.902,105.687,8.65,91.35
As 9s 6h,3s,57.2853,46.47,128.894,92.4565,53.53,169.606,105.615,8.91,91.09
As 9s 6h,4s,56.0665,45.78,127.44,92.7984,54.22,171.06,105.158,6.42,93.58
As 9s 6h,5s,55.4612,45.04,123.225,91.1953,54.96,175.275,106.306,4.07,95.93
As 9s 6h,6s,54.4047,46.86,130.417,92.7705,53.14,168.083,105.434,13.75,86.25
As 9s 6h,7s,54.1028,45.24,119.987,88.4028,54.76,178.513,108.669,6.47,93.53
As 9s 6h,8s,54.462,45.59,122.936,89.8865,54.41,175.564,107.555,11.37,88.63
As 9s 6h,Ts,51.5153,47.67,134.184,93.8188,52.33,164.316,104.676,23.98,76.02
As 9s 6h,Js,53.078,51.13,145.864,95.1022,48.87,152.636,104.1,24.65,75.35
As 9s 6h,Qs,50.7269,47.80,140.044,97.6569,52.20,158.456,101.188,27.55,72.45
As 9s 6h,Ks,49.9895,47.14,133.398,94.3174,52.86,165.102,104.123,12.57,87.43
As Js 6s,,47.7074,47.11,136.14,96.3204,52.89,162.36,102.333,20.79,79.21
As Js 6s,2c,51.9481,46.24,131.801,95.0179,53.76,166.699,103.355,26.40,73.60
As Js 6s,3c,51.7168,46.60,132.995,95.13,53.40,165.505,103.314,27.37,72.63
As Js 6s,4c,51.0128,46.56,133.279,95.4104,53.44,165.221,103.064,25.78,74.22
As Js 6s,5c,49.7631,46.73,133.812,95.4488,53.27,164.688,103.054,23.17,76.83
As Js 6s,6c,49.3925,49.53,148.19,99.7354,50.47,150.31,99.269,32.70,67.30
As Js 6s,7c,47.9362,46.56,131.417,94.0837,53.44,167.083,104.219,13.76,86.24
As Js 6s,8c,48.1116,45.42,127.441,93.5188,54.58,171.059,104.478,11.82,88.18
As Js 6s,9c,45.3662,46.69,131.203,93.6724,53.31,167.297,104.604,10.63,89.37
As Js 6s,Tc,43.8687,48.80,139.96,95.6082,51.20,158.54,103.209,14.52,85.48
As Js 6s,Jc,45.4449,45.17,125.489,92.6117,54.83,173.011,105.174,18.92,81.08
As Js 6s,Qc,44.5204,50.77,153.904,101.05,49.23,144.595,97.9011,28.15,71.85
As Js 6s,Kc,43.1207,49.69,149.836,100.513,50.31,148.664,98.4991,28.89,71.11
As Js 6s,Ac,45.9073,46.25,127.319,91.77,53.75,171.181,106.15,38.68,61.32
As Js 6s,2d,51.9481,46.24,131.801,95.0179,53.76,166.699,103.355,26.40,73.60
As Js 6s,3d,51.7168,46.60,132.995,95.13,53.40,165.505,103.314,27.37,72.63
As Js 6s,4d,51.0128,46.56,133.279,95.4104,53.44,165.221,103.064,25.78,74.22
As Js 6s,5d,49.7631,46.73,133.812,95.4488,53.27,164.688,103.054,23.17,76.83
As Js 6s,6d,49.3925,49.53,148.19,99.7354,50.47,150.31,99.269,32.70,67.30
As Js 6s,7d,47.9362,46.56,131.417,94.0837,53.44,167.083,104.219,13.76,86.24
As Js 6s,8d,48.1116,45.42,127.441,93.5188,54.58,171.059,104.478,11.82,88.18
As Js 6s,9d,45.3662,46.69,131.203,93.6724,53.31,167.297,104.604,10.63,89.37
As Js 6s,Td,43.8687,48.80,139.96,95.6082,51.20,158.54,103.209,14.52,85.48
As Js 6s,Jd,45.4449,45.17,125.489,92.6117,54.83,173.011,105.174,18.92,81.08
As Js 6s,Qd,44.5204,50.77,153.904,101.05,49.23,144.595,97.9011,28.15,71.85
As Js 6s,Kd,43.1207,49.69,149.836,100.513,50.31,148.664,98.4991,28.89,71.11
As Js 6s,Ad,45.9073,46.25,127.319,91.77,53.75,171.181,106.15,38.68,61.32
As Js 6s,2h,51.9481,46.24,131.801,95.0179,53.76,166.699,103.355,26.40,73.60
As Js 6s,3h,51.7168,46.60,132.995,95.13,53.40,165.505,103.314,27.37,72.63
As Js 6s,4h,51.0128,46.56,133.279,95.4104,53.44,165.221,103.064,25.78,74.22
As Js 6s,5h,49.7631,46.73,133.812,95.4488,53.27,164.688,103.054,23.17,76.83
As Js 6s,6h,49.3925,49.53,148.19,99.7354,50.47,150.31,99.269,32.70,67.30
As Js 6s,7h,47.9362,46.56,131.417,94.0837,53.44,167.083,104.219,13.76,86.24
As Js 6s,8h,48.1116,45.42,127.441,93.5188,54.58,171.059,104.478,11.82,88.18
As Js 6s,9h,45.3662,46.69,131.203,93.6724,53.31,167.297,104.604,10.63,89.37
As Js 6s,Th,43.8687,48.80,139.96,95.6082,51.20,158.54,103.209,14.52,85.48
As Js 6s,Jh,45.4449,45.17,125.489,92.6117,54.83,173.011,105.174,18.92,81.08
As Js 6s,Qh,44.5204,50.77,153.904,101.05,49.23,144.595,97.9011,28.15,71.85
As Js 6s,Kh,43.1207,49.69,149.836,100.513,50.31,148.664,98.4991,28.89,71.11
As Js 6s,Ah,45.9073,46.25,127.319,91.77,53.75,171.181,106.15,38.68,61.32
As Js 6s,2s,51.9481,46.25,137.755,99.2901,53.75,160.745,99.6806,8.68,91.32
As Js 6s,3s,51.7157,46.21,136.837,98.7056,53.79,161.663,100.182,8.91,91.09
As Js 6s,4s,50.0952,45.94,135.93,98.6377,54.06,162.57,100.233,8.29,91.71
As Js 6s,5s,50.1988,46.97,140.565,99.7486,53.03,157.935,99.2798,9.37,90.63
As Js 6s,7s,48.6708,46.48,137.984,98.9666,53.52,160.515,99.9631,11.19,88.81
As Js 6s,8s,48.3844,46.40,139.604,100.287,53.60,158.896,98.8186,9.44,90.56
As Js 6s,9s,47.0578,46.90,140.654,99.974,53.10,157.846,99.0814,12.32,87.68
As Js 6s,Ts,46.1485,47.49,140.82,98.8369,52.51,157.68,100.1,19.34,80.66
As Js 6s,Qs,44.7372,47.31,138.46,97.549,52.69,160.04,101.252,16.26,83.74
As Js 6s,Ks,44.379,45.53,128.678,94.1986,54.47,169.822,103.932,12.52,87.48
Js 5h 3d,,24.5917,48.58,147.433,101.172,51.42,151.067,97.9209,30.21,69.79
Js 5h 3d,2c,26.7777,48.36,147.532,101.699,51.64,150.968,97.441,19.88,80.12
Js 5h 3d,3c,26.6921,48.02,146.073,101.389,51.98,152.427,97.7547,19.04,80.96
Js 5h 3d,4c,26.5774,49.52,151.718,102.135,50.48,146.782,96.9152,21.27,78.73
Js 5h 3d,5c,26.0701,48.35,148.051,102.071,51.65,150.449,97.0931,20.72,79.28
Js 5h 3d,6c,26.2864,51.05,156.645,102.275,48.95,141.855,96.6058,21.02,78.98
Js 5h 3d,7c,25.7117,50.31,151.846,100.615,49.69,146.654,98.3714,17.97,82.03
Js 5h 3d,8c,25.3241,47.76,147.737,103.103,52.24,150.763,96.2053,23.26,76.74
Js 5h 3d,9c,23.1919,48.47,145.171,99.8343,51.53,153.329,99.1855,37.27,62.73
Js 5h 3d,Tc,22.1344,50.42,153.213,101.288,49.58,145.287,97.6817,38.84,61.16
Js 5h 3d,Jc,24.1937,45.48,123.53,90.5457,54.52,174.97,106.968,21.90,78.10
Js 5h 3d,Qc,22.7455,50.60,168.31,110.883,49.40,130.19,87.842,47.52,52.48
Js 5h 3d,Kc,21.2495,52.78,168.017,106.117,47.22,130.482,92.1043,48.52,51.48
Js 5h 3d,Ac,22.1854,45.78,134.72,98.0995,54.22,163.78,100.682,25.07,74.93
Js 5h 3d,2d,26.7777,47.36,141.873,99.8576,52.64,156.627,99.1783,23.89,76.11
Js 5h 3d,4d,26.5758,48.33,144.945,99.9763,51.67,153.555,99.0546,24.98,75.02
Js 5h 3d,5d,26.0715,47.51,143.994,101.028,52.49,154.506,98.1167,23.66,76.34
Js 5h 3d,6d,26.3908,49.62,148.866,99.9987,50.38,149.634,99.0087,23.06,76.94
Js 5h 3d,7d,25.579,49.34,147.308,99.5207,50.66,151.192,99.4798,20.26,79.74
Js 5h 3d,8d,25.8698,46.90,142.256,101.104,53.10,156.244,98.0833,25.32,74.68
Js 5h 3d,9d,24.0612,48.31,143.482,98.9989,51.69,155.018,99.9684,34.56,65.44
Js 5h 3d,Td,22.6543,49.92,150.343,100.399,50.08,148.157,98.6042,48.21,51.79
Js 5h 3d,Jd,23.5908,45.04,122.703,90.8117,54.96,175.797,106.62,24.24,75.76
Js 5h 3d,Qd,23.081,49.69,162.109,108.754,50.31,136.391,90.3614,49.35,50.65
Js 5h 3d,Kd,21.847,52.35,166.725,106.169,47.65,131.775,92.1743,59.23,40.77
Js 5h 3d,Ad,21.3914,45.24,133.066,98.045,54.76,165.434,100.702,27.61,72.39
Js 5h 3d,2h,26.7479,47.39,142.021,99.8895,52.61,156.479,99.1491,23.55,76.45
Js 5h 3d,3h,26.6933,47.19,142.006,100.304,52.81,156.494,98.7818,22.88,77.12
Js 5h 3d,4h,26.5378,48.37,145.114,100.012,51.63,153.386,99.0207,24.80,75.20
Js 5h 3d,6h,26.3908,49.62,148.867,100.001,50.38,149.633,99.007,23.17,76.83
Js 5h 3d,7h,25.5838,49.33,147.306,99.5302,50.67,151.194,99.4706,20.34,79.66
Js 5h 3d,8h,25.8845,46.92,142.337,101.109,53.08,156.163,98.077,25.31,74.69
Js 5h 3d,9h,24.0974,48.28,143.377,98.9909,51.72,155.123,99.9752,33.78,66.22
Js 5h 3d,Th,22.66,49.91,150.268,100.351,50.09,148.232,98.6518,48.07,51.93
Js 5h 3d,Jh,23.5885,45.05,122.759,90.8243,54.95,175.741,106.614,24.27,75.73
Js 5h 3d,Qh,23.1178,49.63,161.714,108.615,50.37,136.786,90.5191,49.52,50.48
Js 5h 3d,Kh,21.7919,52.14,165.839,106.017,47.86,132.661,92.3997,58.36,41.64
Js 5h 3d,Ah,21.1834,45.18,132.621,97.8532,54.82,165.879,100.857,27.43,72.57
Js 5h 3d,2s,26.7744,47.84,145.148,101.141,52.16,153.352,97.9951,24.29,75.71
Js 5h 3d,3s,26.7777,47.77,145.746,101.689,52.23,152.754,97.4974,22.96,77.04
Js 5h 3d,4s,26.5609,48.82,148.394,101.321,51.18,150.106,97.7629,25.11,74.89
Js 5h 3d,5s,26.1664,48.12,147.932,102.468,51.88,150.568,96.747,23.80,76.20
Js 5h 3d,6s,26.3918,50.09,152.163,101.268,49.91,146.337,97.726,23.21,76.79
Js 5h 3d,7s,25.5671,49.81,150.475,100.698,50.19,148.025,98.3106,21.39,78.61
Js 5h 3d,8s,25.658,47.34,145.614,102.526,52.66,152.886,96.7796,25.90,74.10
Js 5h 3d,9s,24.2082,48.21,143.383,99.1445,51.79,155.117,99.8309,33.09,66.91
Js 5h 3d,Ts,22.6748,50.06,152.491,101.531,49.94,146.009,97.4635,48.47,51.53
Js 5h 3d,Qs,22.9734,49.40,161.083,108.69,50.60,137.417,90.5275,48.38,51.62
Js 5h 3d,Ks,22.376,52.64,168.997,107.008,47.36,129.504,91.1538,61.42,38.58
Js 5h 3d,As,21.5587,45.46,134.541,98.6419,54.54,163.959,100.215,27.37,72.63
Ks 5h 4h,,31.0492,43.31,127.015,97.7613,56.69,171.485,100.828,19.37,80.63
Ks 5h 4h,2c,33.5042,42.43,125.359,98.489,57.57,173.141,100.245,17.95,82.05
Ks 5h 4h,3c,33.5683,42.87,126.909,98.675,57.13,171.591,100.119,14.50,85.50
Ks 5h 4h,4c,32.5378,42.41,128.14,100.709,57.59,170.36,98.6095,20.68,79.32
Ks 5h 4h,5c,32.589,41.35,119.812,96.5924,58.65,178.688,101.55,14.30,85.70
Ks 5h 4h,6c,32.8641,45.00,133.568,98.9353,55.00,164.932,99.9621,12.97,87.03
Ks 5h 4h,7c,31.3735,44.73,130.613,97.3297,55.27,167.887,101.257,10.31,89.69
Ks 5h 4h,8c,31.5548,44.02,131.199,99.3459,55.98,167.301,99.6212,15.79,84.21
Ks 5h 4h,9c,29.623,45.94,134.656,97.7017,54.06,163.844,101.028,20.40,79.60
Ks 5h 4h,Tc,28.6547,45.79,133.672,97.315,54.21,164.828,101.345,24.82,75.18
Ks 5h 4h,Jc,28.0065,46.72,136.784,97.5867,53.28,161.716,101.178,26.00,74.00
Ks 5h 4h,Qc,29.1197,43.52,128.293,98.253,56.48,170.207,100.461,24.78,75.22
Ks 5h 4h,Kc,29.3254,38.84,106.006,90.9749,61.16,192.493,104.914,9.13,90.87
Ks 5h 4h,Ac,27.1379,41.86,136.375,108.602,58.14,162.125,92.947,37.80,62.20
Ks 5h 4h,2d,33.5042,42.43,125.359,98.489,57.57,173.141,100.245,17.95,82.05
Ks 5h 4h,3d,33.5683,42.87,126.909,98.675,57.13,171.591,100.119,14.50,85.50
Ks 5h 4h,4d,32.5378,42.41,128.14,100.709,57.59,170.36,98.6095,20.68,79.32
Ks 5h 4h,5d,32.589,41.35,119.812,96.5924,58.65,178.688,101.55,14.30,85.70
Ks 5h 4h,6d,32.8641,45.00,133.568,98.9353,55.00,164.932,99.9621,12.97,87.03
Ks 5h 4h,7d,31.3735,44.73,130.613,97.3297,55.27,167.887,101.257,10.31,89.69
Ks 5h 4h,8d,31.5548,44.02,131.199,99.3459,55.98,167.301,99.6212,15.79,84.21
Ks 5h 4h,9d,29.623,45.94,134.656,97.7017,54.06,163.844,101.028,20.40,79.60
Ks 5h 4h,Td,28.6547,45.79,133.672,97.315,54.21,164.828,101.345,24.82,75.18
Ks 5h 4h,Jd,28.0065,46.72,136.784,97.5867,53.28,161.716,101.178,26.00,74.00
Ks 5h 4h,Qd,29.1197,43.52,128.293,98.253,56.48,170.207,100.461,24.78,75.22
Ks 5h 4h,Kd,29.3254,38.84,106.006,90.9749,61.16,192.493,104.914,9.13,90.87
Ks 5h 4h,Ad,27.1379,41.86,136.375,108.602,58.14,162.125,92.947,37.80,62.20
Ks 5h 4h,2h,33.7233,40.61,115.18,94.5478,59.39,183.32,102.886,8.31,91.69
Ks 5h 4h,3h,33.6103,40.84,115.284,94.0846,59.16,183.217,103.239,5.23,94.77
Ks 5h 4h,6h,33.4185,42.03,117.214,92.9678,57.97,181.286,104.235,6.37,93.63
Ks 5h 4h,7h,33.3061,42.10,116.84,92.5066,57.90,181.66,104.585,6.49,93.51
Ks 5h 4h,8h,33.345,42.12,120.086,95.0415,57.88,178.414,102.744,9.11,90.89
Ks 5h 4h,9h,32.4346,44.56,127.932,95.6931,55.44,170.568,102.56,11.46,88.54
Ks 5h 4h,Th,32.2168,44.80,126.877,94.4035,55.20,171.623,103.636,14.46,85.54
Ks 5h 4h,Jh,31.5274,46.55,132.058,94.5536,53.45,166.442,103.809,13.23,86.77
Ks 5h 4h,Qh,29.8142,41.82,115.945,92.4144,58.18,182.555,104.593,12.57,87.43
Ks 5h 4h,Kh,28.4115,36.06,94.6843,87.5328,63.94,203.816,106.248,3.88,96.12
Ks 5h 4h,Ah,28.3227,38.86,116.586,99.9953,61.14,181.914,99.1851,38.24,61.76
Ks 5h 4h,2s,33.5096,42.94,127.666,99.0991,57.06,170.834,99.8017,25.23,74.77
Ks 5h 4h,3s,33.5458,43.32,128.385,98.7783,56.68,170.115,100.052,22.25,77.75
Ks 5h 4h,4s,32.8078,43.64,135.54,103.529,56.36,162.96,96.3805,31.63,68.37
Ks 5h 4h,5s,32.3357,42.21,125.067,98.7772,57.79,173.433,100.028,24.50,75.50
