
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,381.67364294,85.51337872,148.7773604,2281.8170012
KK,280.79612984,73.650524057,127.0849205,2528.9540515
JJ,276.53931261,72.718200441,126.76299786,1226.5557336
AKo,241.18632274,68.577177524,117.2335226,1226.305166
AKs,236.0740867,66.776786968,117.84239076,486.41166249
99,233.93546185,64.543392294,120.81560097,1066.6896681
QQ,221.94983791,67.166226433,110.14952489,1299.2119846
TT,202.44300156,60.920956224,110.76812431,1496.9278239
AQo,156.46097746,56.235453406,92.741599816,2083.6833638
88,155.41655172,52.000273759,99.625470205,460.32220703
77,154.20020733,51.550273309,99.708625793,609.74887637
KJs,140.62023789,48.315756099,97.014755461,334.90667005
55,137.25083111,45.680084472,100.15366119,536.0466236
AQs,136.16891774,53.013155687,85.619576235,862.5316552
66,126.04524413,49.072666239,85.618093735,131.5861368
KQs,124.02811702,44.053176001,93.847276013,982.3866318
ATo,102.92864119,46.990995904,73.013023883,909.57903618
KTs,102.31451507,37.938966804,89.893956612,418.9403771
54s,96.908528189,29.101045304,111.00234508,664.7503394
AJs,96.337594955,46.49907207,69.060585991,1043.0807408
A9o,94.731222411,43.848894115,72.013387736,758.72702038
KJo,93.018664351,40.208141701,77.114286158,1224.4909857
K4s,92.584086872,32.975243497,93.589490228,649.8162002
T7s,91.567789044,30.891645731,98.805342434,1024.4830649
Q9s,89.531288824,36.427560207,81.926329329,781.4715594
K7s,89.016646972,33.415269163,88.798373918,240.92542822
98s,88.514898727,33.970711468,86.854131007,512.8281326
A4o,87.940602862,41.26113055,71.043943528,1760.2015323
T9s,86.006224417,34.663730385,82.705297883,962.4730835
87s,84.011158199,31.125949644,89.969044223,525.9125928
J5s,81.738129956,31.43380991,86.677508698,449.1829778
QJs,80.937652213,37.471644921,71.999020757,398.994112
QJo,80.596950982,36.883635264,72.838943707,247.82253505
QTs,80.341346849,31.544467103,84.897452418,357.2726363
AJo,77.896651076,43.884584698,59.167816074,941.10806634
J9o,74.687254708,36.468503987,68.266445968,411.62752089
96s,72.944260382,29.583529937,82.190169708,266.23569709
K3s,72.212021979,28.354581556,84.891656558,271.076988
KQo,71.456123004,36.227305044,65.74794244,1593.8588424
A5s,70.905200377,37.464835018,63.086002597,817.6783976
K6s,67.770831072,32.528388828,69.447881797,683.2897989
J3s,67.2953929,24.943755593,89.929511814,368.7412912
76s,67.262406594,32.052091818,69.951135563,400.2750302
T8s,65.51805674,26.347683926,82.889077873,792.0447007
Q7s,64.586460254,28.602580047,75.268804595,438.3660869
J9s,60.838740818,31.496034339,64.387725942,422.00106309
J8s,50.223079337,24.968750189,67.047915171,435.6428805
QTo,49.567006158,25.380426578,65.09873006,357.81355801
JTo,49.141345293,26.244435009,62.414940254,199.84729987
T6s,49.116183236,24.793779527,66.032938064,573.6451473
Q3s,48.227584106,21.715410807,74.029736355,316.9328612
T9o,44.878675393,26.830248708,55.756316787,888.89435378
65s,43.539767133,23.083660051,62.872420053,480.0526621
J6s,42.923101838,23.866145357,59.949775712,634.6733893
J2s,41.189278803,22.293422353,61.586594393,752.5118942
KTo,40.90812951,27.801383497,49.04807407,1620.1857647
K9o,39.915534821,27.627944536,48.15840808,1606.6865651
J7s,37.584965449,23.088789564,54.261492493,747.73408628
JTs,29.969689856,20.81433464,47.995272447,470.4377745

Preflop Hands IP
Hand, EV, Equity, Equity Realization, Matchups
AA,328.1223864,84.990445148,128.68991168,755.58371343
JJ,209.70842604,66.732899409,104.75014468,609.49923036
AQs,205.87922843,66.375281608,103.39151535,1361.2011833
AQo,204.61088075,66.071969113,103.2262665,2705.1546072
AJs,200.88079482,64.351530722,104.0538806,1423.4954717
AJo,186.93219643,61.771272915,100.87331733,1431.0859892
66,184.64435213,61.025258886,100.85679028,2026.5967465
A9s,181.13600846,59.633223134,101.25005209,1458.518776
A2s,180.91356397,59.293120566,101.70576409,370.82697079
ATs,178.9364334,60.177495313,99.11591948,1439.3956641
A4s,177.80011497,59.018865145,100.41993326,460.64990315
99,177.13145114,60.263647702,97.975843313,2274.6423225
A5s,175.55887966,58.8882108,99.374095017,1357.5183924
A3s,175.51853478,57.729759195,101.34491998,408.3469225
A7s,172.61690839,58.709594336,98.006075694,840.1906988
A8s,170.91271459,58.665844804,97.110857355,898.5786666
TT,169.49150377,59.224005361,95.395722697,1653.9177837
KQs,166.07269921,55.40372325,99.916689992,1492.2233181
55,157.90775306,51.053102873,103.10033029,1292.6559036
KJs,156.28441315,52.784818907,98.692778456,1423.7976071
88,154.72695361,54.100755708,95.332589218,2527.9962978
87s,152.95062595,41.501056978,122.84877951,741.1348365
KQo,152.72331938,53.075109202,95.916473642,2562.5477833
KTs,151.44660063,49.391505555,102.20826364,1518.8550279
54s,149.86764064,38.823663666,128.67379195,285.27992359
44,149.24812489,48.785002213,101.9767812,509.49449228
QJs,149.04032532,49.203759693,100.96811453,1488.6916446
QTs,147.75768763,45.887619484,107.33300855,1580.247896
K8s,146.60515514,46.289236442,105.57181065,326.78423647
JTs,146.09445899,46.247635908,105.29868617,1519.293415
J9s,145.98522769,48.141138147,101.08141277,1074.2355669
76s,143.40466406,41.402100011,115.45683595,443.30993541
65s,143.25648406,43.131410567,110.7131919,630.1682854
K9s,142.54594811,46.516427906,102.14738787,1467.5130937
T8s,142.39770901,39.484717597,120.21335314,386.51245543
77,141.80274288,51.503082699,91.776217042,2422.6633924
98s,139.95979168,40.344261985,115.63791627,489.48517597
T9s,136.8667376,40.658413636,112.20862249,1378.2912675

Hands EV OOP
Hand, EV, Equity, Matchups
KsQs,433.936584,95.6918478,151.15762871,94.878006
QsTs,420.446198,93.9416826,149.18695172,40.0403404
AsAd,388.39953318,85.090501419,152.15154324,283.35387273
AsAc,387.2229032,84.82058369,152.17332333,282.76974147
AsAh,385.82155263,85.312095508,150.74906254,337.0450859
AhAd,378.8310434,85.947294509,146.92378066,467.1373138
