
Preflop Hands OOP
Hand, EV, Equity, Equity Realization, Matchups
AA,364.3571679,83.445369429,145.54718869,3250.1044538
KK,299.96654221,75.125300917,133.09610235,3545.0314772
QQ,261.84689355,70.332899719,124.0988189,3730.4736506
JJ,251.86413522,68.56396056,122.44729017,3517.8456348
99,214.16300546,61.763891474,115.58155871,2156.5318866
TT,203.83520906,61.650932278,110.20931424,3778.8817157
AKs,203.73424188,63.202384618,107.45071467,2259.2153549
AKo,196.83195353,62.514907683,104.95200842,6783.1010437
AJs,162.70513595,54.721939764,99.110239059,2240.930649
AQs,160.346901,56.317052367,94.907252337,2339.2694017
KQs,159.01698807,51.36551181,103.19309751,2448.9474049
KJs,156.9925526,50.928405679,102.75375828,711.6361255
KTs,154.53730346,48.588091889,106.01864054,918.8048442
88,154.26896129,52.756610704,97.472120388,911.8289603
JTs,150.59778259,45.829141138,109.53567886,2066.836746
AQo,150.27621159,54.951976908,91.156084545,6594.9976803
77,149.15700098,51.256308907,97.000742712,797.9438165
KJo,147.36149531,49.235425372,99.766576741,3309.0887371
KQo,146.34930532,49.135309103,99.283188943,2466.6220809
AJo,139.4444252,50.989588931,91.158756208,2097.9855313
K7s,138.49283715,44.193585727,104.4592293,371.0591501
JTo,136.9131845,42.891764237,106.40207736,806.5491169
QTs,135.6110551,42.208153607,107.09704446,1065.4213028
KTo,134.73812937,45.253789378,99.246296071,3308.3560497
QJs,134.32415673,44.192296713,101.31792697,1166.6382142
66,133.76137264,50.666586181,88.001042847,322.48682496
ATo,129.7449757,48.346593668,89.45475152,1947.7362668
55,127.48258511,45.34061708,93.722136518,646.5967488
J9s,127.2454494,44.892878981,94.480796876,1479.2304192
QJo,123.21608551,41.855733533,98.127604121,774.85979479
T8s,119.34332387,38.356731079,103.71349914,1577.9169006
T9s,119.06055981,40.842209861,97.171170234,1966.3489227
K3s,115.8415207,40.295664848,95.826288955,456.5289246
J9o,115.79743455,42.78392934,90.218793473,1011.7716266
